Textbox16,ACTUAL_SHIP_DATE_TIME,warehouse,SHIPPING_LOAD_NUM,CUSTOMER,store,ERP_order,AISLE,PARENT_CONTAINER_ID,item,ITEM_DESC,coef,pck,pcs,total_piece,total_kg,LOT
1,24-Jul-26,GBG,1483596,48438,TMI,AM07057859570,13,00004000000053164412,0000000166687_1,MARINA UV WHT HBL HEALTHYNGLOW 460ML,12,0,4,4,0,12052029
2,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,11,00004000000053111461,0000000002630_1,ROYALE BLACK VELVET HIJAB REF 600ML_1C12P,12,0,1,1,0,12062028
3,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,12,00004000000053111485,0000000050811_1,NYU HAIR COL 2.00 HENNA SH NAT BLACK_1C4P,4,0,2,2,0,12042028
4,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,25,00004000000053111799,0000000052448_1,CHIL GO 1 VANILA 660G_1C12P,12,0,1,1,0,28112027
5,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,02,00004000000053111294,0000000056163_1,HANSAPLAST KAIN ELASTIS FUN 10S_1B30P,180,0,1,1,0,03032029
6,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,03,00004000000053111317,0000000062519_1,FRES N NAT FRG MIST DESSERT PINK CUPCAKE 100_1C24P,24,0,2,2,0,06072029
7,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,01,00004000000053111270,0000000064442_1,CAMEL MILD INTENSE BLUE 16S_YM,600,0,5,5,0,01062027
8,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,03,00004000000053111317,0000000083397_1,CIPTADENT PG FRESHMINT 225GR 1C24,24,0,4,4,0,12072029
9,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,32,00004000000053112031,0000000092315_1,KOPI KENANGAN AVOCUDDLE 220ML_1C24P,24,0,6,6,0,11062027
10,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,12,00004000000053111485,0000000092569_1,WARDAH MICELLAR WATER PERFECT BRIGHT TONE UP 100ML,28,0,1,1,0,01062029
11,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,02,00004000000053111294,0000000094837_1,MY BABY TELON LAVENDER 150ML_1B12P_1C48P,48,0,1,1,0,01062028
12,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,17,00004000000053111584,0000000104050_1,CHUBA CASSAVA CHIPS SAMBAL BALADO 60G_1C30P_YM,30,0,1,1,0,10042027
13,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,42,00004000000053112178,0000000130958_1,MAMA LIME PP LIME REF 105ML,24,0,2,2,0,12062029
14,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,22,00004000000053111706,0000000136614_1,BLUE BAND SACHET 200GR_1C60P_21035622,60,0,5,5,0,29042027
15,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,03,00004000000053111317,0000000136937_1,GATSBY SPLASH COL MUSKY DEEP OCEAN 175ML,8,0,1,1,0,08062029
16,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,12,00004000000053111485,0000000137018_1,ASEPSO BS 80,144,0,2,2,0,05032029
17,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,03,00004000000053111317,0000000138724_1,GILLETTE BLUE2 PLUS ISI 2S,240,0,2,2,0,08092029
18,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,02,00004000000053111294,0000000138976_1,OVALE WHITENING 200,216,0,1,1,0,01052029
19,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,25,00004000000053111799,0000000143434_1,DELFI TWISTER MINIS VANILA 30_1C6B10P,10,0,1,1,0,14082027
20,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,16,00004000000053111577,0000000143459_1,NISSIN CRISPY 225G_1C30P,30,0,3,3,0,14072027
21,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,13,00004000000053111515,0000000143837_1,MITU BABY WIPES FRESH N CLEAN PINK 24S_1C36P_YM,36,0,1,1,0,01062028
22,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,21,00004000000053111683,0000000145408_1,REGAL MARIE 230_1C24P,24,0,1,1,0,24122027
23,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,21,00004000000053111683,0000000145412_1,REGAL MARIE 120GR_1C48P,48,0,3,3,0,06112027
24,24-Jul-26,GBG,1483596,48438,TMI,AM07057859570,12,00004000000053164405,0000000207453_1,PIGEON TEENS BRIGHT HEROESMICELLARWATER100ML 1C_24,1,0,4,4,0,01092028
25,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,16,00004000000053111577,0000000004917_1,JET Z CHOCO FIESTA 65GR_1C30P,30,0,5,5,0,12122026
26,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,28,00004000000053111904,0000000015592_1,MILKU STROBERI BTL 200ML_1C12P,12,1,0,12,0,08032027
27,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,14,00004000000053111539,0000000018318_1,GIV BW FLAWLESS WHITE SAKURA R400ML 1C12,12,0,2,2,0,
28,24-Jul-26,GBG,1483596,48438,TMI,CR07057882608,02,00004000000053111294,0000000020957_1,FIESTA MAX DOTTED 3S,1,0,1,1,0,12122030
