Textbox16,ACTUAL_SHIP_DATE_TIME,SHIPPING_LOAD_NUM,CUSTOMER,store,ERP_order,AISLE,PARENT_CONTAINER_ID,item,ITEM_DESC,coef,pck,pcs,total_piece,total_kg,LOT
1,16-Jul-26,1480118,48448,PYN,AM07057723245,21,00004000000052575363,0000000269712_1,OKEBIS CHOCOCHIPS EXTRA 86.5G_1C48P,48,0,43,43,0,01102027
2,16-Jul-26,1480118,48448,PYN,AM07057723245,21,00004000000052575387,0000000269712_1,OKEBIS CHOCOCHIPS EXTRA 86.5G_1C48P,48,0,5,5,0,01102027
3,16-Jul-26,1480118,48448,PYN,AM07057723681,31,00004000000052575462,0000000289008_1,ANAK RAJA BERAS KHUSUS MEDIUM 5 KG_1C5P,5,24,0,120,0,30062027
4,16-Jul-26,1480118,48448,PYN,AM07057723757,30,00004000000052575424,0000000147664_1,GULAKU PREMIUM 1 KG_1C24P,24,10,0,240,0,18062028
5,16-Jul-26,1480118,48448,PYN,AM07057723757,30,00004000000052575424,0000000147669_1,GULAKU KUNING 1 KG_1C24P,24,10,0,240,0,26062028
6,16-Jul-26,1480118,48448,PYN,AM07057723829,09,00004000000052575264,0000000139192_1,SELECTION SELECTION 75,72,0,3,3,0,12122029
7,16-Jul-26,1480118,48448,PYN,AM07057723829,02,00004000000052575226,0000000139222_1,SELECTION SELECTION 50,96,0,3,3,0,12022029
8,16-Jul-26,1480118,48448,PYN,AM07057723993,18,00004000000052575318,0000000263192_1,OOPS FRIES SAOS SAMBAL 50GR_1C30P,30,1,0,30,0,01012027
9,16-Jul-26,1480118,48448,PYN,AM07057724153,21,00004000000052575387,0000000244485_1,TANGO WAFER MATCHA 33G_1C4B_1B10P,40,1,0,40,0,09062027
10,16-Jul-26,1480118,48448,PYN,AM07057724153,21,00004000000052575387,0000000253644_1,TANGO WAFER HAZELNUT 33G_1C4B_1B10P,40,1,0,40,0,14052027
11,16-Jul-26,1480118,48448,PYN,CR07057734334,03,00004000000052588875,0000000000555_1,YOA CARE GUNTING KUKU _1C 288P,288,0,2,2,0,01052029
12,16-Jul-26,1480118,48448,PYN,CR07057734334,03,00004000000052588875,0000000003709_1,MARINA RO BLUE ANTIBACTERIAL 50ML,36,0,2,2,0,
13,16-Jul-26,1480118,48448,PYN,CR07057734334,03,00004000000052588875,0000000003713_1,MARINA RO PINK SOFT SMOOTH 50ML,36,0,1,1,0,01122028
14,16-Jul-26,1480118,48448,PYN,CR07057734334,16,00004000000052589018,0000000004917_1,JET Z CHOCO FIESTA 65GR_1C30P,30,0,2,2,0,12122026
15,16-Jul-26,1480118,48448,PYN,CR07057734334,03,00004000000052588875,0000000004950_1,MY BABY SHP BLACK SHINE 100ML,48,0,1,1,0,
16,16-Jul-26,1480118,48448,PYN,CR07057734334,34,00004000000052589285,0000000005608_1,IN LITE VALUE 9W PAKET,1,0,1,1,0,
17,16-Jul-26,1480118,48448,PYN,CR07057734334,29,00004000000052589230,0000000006311_1,GOOD SNACK KERUPUK TELUR IKAN 100G_1C24P_YM,24,0,2,2,0,01012027
18,16-Jul-26,1480118,48448,PYN,CR07057734334,32,00004000000052589261,0000000006441_1,TUJUH KURMA SUSU STERIL 189ML _1C24P,24,0,18,18,0,01062027
19,16-Jul-26,1480118,48448,PYN,CR07057734334,29,00004000000052589230,0000000007762_1,NISSIN GEKIKARA RAMEN CARBONARA PEDAS 120G_1C30P,30,0,2,2,0,12032027
20,16-Jul-26,1480118,48448,PYN,CR07057734334,29,00004000000052589223,0000000007763_1,NISSIN GEKIKARA RAMEN CARBONARA PEDAS 81G_1C30P,30,0,6,6,0,08042027
21,16-Jul-26,1480118,48448,PYN,CR07057734334,17,00004000000052589025,0000000007764_1,NISSIN GEKIKARA RAMEN RASA AYAM PEDAS 80G_1C30P,30,0,5,5,0,15042027
22,16-Jul-26,1480118,48448,PYN,CR07057734334,18,00004000000052589032,0000000008283_1,CHIKI BALLS COKLAT CURIOS CHOCO 55GR_1C30P,30,0,2,2,0,12012027
23,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000008560_1,SEDAAP KECAP MANIS SPC REFILL 725G_1C12P,12,0,1,1,0,01012028
24,16-Jul-26,1480118,48448,PYN,CR07057734334,12,00004000000052588974,0000000008941_1,MAKARIZO VITAGLITZ ALOE MELON 6S 1C12,144,0,1,1,0,01062029
25,16-Jul-26,1480118,48448,PYN,CR07057734334,14,00004000000052589001,0000000010467_1,BIORE GUARD BW LIVELY REFRESH R800ML _1C9P,9,0,2,2,0,11062029
26,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589360,0000000011798_1,TOP SC KOPI GULA AREN 9X22G_1C20P,20,0,1,1,0,15042028
27,16-Jul-26,1480118,48448,PYN,CR07057734334,42,00004000000052589384,0000000012003_1,MOLTO PEWANGI PURPLE REF 765 ML_1C12P_68741008,12,0,1,1,0,12062028
28,16-Jul-26,1480118,48448,PYN,CR07057734334,42,00004000000052589384,0000000012865_1,CHARM PL COOLING FRESH 32SSYM,36,0,1,1,0,
29,16-Jul-26,1480118,48448,PYN,CR07057734334,04,00004000000052588882,0000000012914_1,BAYGON COIL MAX DB RED _1C60P,60,0,1,1,0,07072028
30,16-Jul-26,1480118,48448,PYN,CR07057734334,12,00004000000052588967,0000000013076_1,STELLA GEL ALL IN ONE CAFFE LATTE 42GR _1C18P,18,0,1,1,0,
31,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589353,0000000013587_1,OREO RED VELVET 105G_1C24P,24,0,5,5,0,19042027
32,16-Jul-26,1480118,48448,PYN,CR07057734334,01,00004000000052588851,0000000013801_1,CAMEL OPTION PURPLE 12S_1SL10P,52,0,1,1,0,09062027
33,16-Jul-26,1480118,48448,PYN,CR07057734334,12,00004000000052588974,0000000013940_1,AUTAN LOTION SAKURA TUBE 50ML,144,0,1,1,0,
34,16-Jul-26,1480118,48448,PYN,CR07057734334,14,00004000000052588998,0000000014267_1,SO KLIN LIQ DET PERFUME REF 1.6LT,6,0,2,2,0,
35,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589148,0000000015542_1,ANLENE GOLD PLUS VANILA 175GR_1C 24P_YM,24,0,1,1,0,23042027
36,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589155,0000000016656_1,TANGO WAFLE CHOCO HAZELNUT 75G_1C60P,60,0,1,1,0,12052027
